Color Name, Hex Code,R,G,B,H,S,V,Name Code
cloudy blue,#acc2d9,172,194,217,210.66666666666669,20.737327188940085,85.09803921568627,3817131579880101
dark pastel green,#56ae57,86,174,87,120.68181818181816,50.57471264367816,68.23529411764706,4895173853786478290212014
dust,#b2996e,178,153,110,37.94117647058823,38.20224719101123,69.80392156862744,153204
electric lime,#a8ff04,168,255,4,80.79681274900399,98.4313725490196,100.0,6202710758416328101
fresh green,#69d84f,105,216,79,108.6131386861314,63.42592592592592,84.70588235294117,7394878136325294
light eggplant,#894585,137,69,133,303.52941176470586,49.63503649635037,53.72549019607843,453360096941235897812
nasty green,#70b23f,112,178,63,94.43478260869566,64.6067415730337,69.80392156862744,15819388841694382
really light blue,#d4ffff,212,255,255,180.0,16.862745098039213,100.0,21951197495843933235786405
tea,#65ab7c,101,171,124,139.71428571428572,40.93567251461988,67.05882352941175,20641
warm purple,#952e8f,149,46,143,303.49514563106794,69.12751677852349,58.43137254901961,25951152887120261
yellowish tan,#fcfc81,252,252,129,60.0,48.80952380952381,98.82352941176472,29017131904872173614
cement,#a5a391,165,163,145,53.99999999999994,12.121212121212128,64.70588235294117,106337748
dark grass green,#388004,56,128,4,94.83870967741936,96.875,50.19607843137255,152974173376052654052526
dusty teal,#4c9085,76,144,133,170.29411764705884,47.22222222222222,56.47058823529412,164502413382700
grey teal,#5e9b8a,94,155,138,163.27868852459017,39.35483870967741,60.78431372549019,8321296372780
macaroni and cheese,#efb435,239,180,53,40.96774193548387,77.82426778242677,93.72549019607844,16135592513878801658822170213
pinkish tan,#d99b82,217,155,130,17.241379310344822,40.09216589861752,85.09803921568627,18346839288795182
spruce,#0a5f38,10,95,56,152.47058823529412,89.47368421052633,37.25490196078432,654922853
strong blue,#0c06f7,12,6,247,241.49377593360995,97.57085020242914,96.8627450980392,22116107575964325
toxic green,#61de2a,97,222,42,101.66666666666669,81.08108108108108,87.05882352941177,23072465470690478
windows blue,#3778bf,55,120,191,211.3235294117647,71.20418848167539,74.90196078431373,839292950614717093
blue blue,#2242c7,34,66,199,228.3636363636364,82.91457286432161,78.03921568627452,2634088002213
blue with hint of purple,#533cc6,83,60,198,250.00000000000003,69.6969696969697,77.64705882352942,99513057036261961472726029590675845
booger,#9bb53c,155,181,60,72.89256198347108,66.85082872928177,70.98039215686275,83336370
bright sea green,#05ffa6,5,255,166,158.64,98.0392156862745,100.0,97148936567656805897390
dark green blue,#1f6357,31,99,87,169.41176470588235,68.68686868686868,38.82352941176471,4780442918123884065445
deep turquoise,#017374,1,115,116,180.5217391304348,99.13793103448276,45.490196078431374,153537796759184975461
green teal,#0cb577,12,181,119,157.98816568047337,93.37016574585635,70.98039215686275,266259483202604
strong pink,#ff0789,255,7,137,328.5483870967742,97.25490196078432,100.0,22116107576419787
bland,#afa88b,175,168,139,48.333333333333336,20.57142857142858,68.62745098039215,2491844
deep aqua,#08787f,8,120,127,183.52941176470583,93.7007874015748,49.80392156862745,4575782291105
lavender pink,#dd85d7,221,133,215,304.0909090909091,39.81900452488688,86.66666666666667,13896048108718532043
light moss green,#a6c875,166,200,117,84.57831325301203,41.5,78.43137254901961,464240739558512777565358
light seafoam green,#a7ffb5,167,255,181,129.54545454545456,34.509803921568626,100.0,15212240560389847454192309422
olive yellow,#c2b709,194,183,9,56.43243243243244,95.36082474226804,76.07843137254902,554283807626637815
pig pink,#e78ea5,231,142,165,344.4943820224719,38.52813852813853,90.58823529411764,559686362571
deep lilac,#966ebd,150,110,189,270.37974683544303,41.7989417989418,74.11764705882354,146425044578339
desert,#ccad60,204,173,96,42.77777777777778,52.94117647058824,80.0,140088916
dusty lavender,#ac86a8,172,134,168,306.3157894736842,22.09302325581396,67.45098039215686,172493282336702927026
purpley grey,#947e94,148,126,148,300.0,14.864864864864868,58.03921568627452,600755979786897593
